"Krasnushkin_DonNaKostylyah" "Kryukov_NaTihomDonu1898" "Kryukov_RechkeLazor1911" "Kryukov_Tatarnik1919" "Kryukov_Vglubine1913" "Kryukov_VojskovojKrugIRossiya1918" "Kryukov_Zyb1909" "Sholokhov_Celina" "Sholokhov_Don1-2" "Sholokhov_Don3-4" "Sholokhov_Sudba"
"один" 0.0745005079580088 0.1315400046039 0.108717137774264 0.238237045860631 0.0717694764416694 0.137362637362637 0.0726414237719059 0.0998312032794791 0.0756723806320746 0.0984720007069785 0.127122491600835
"время" 0.189637656620386 0.15784800552468 0.0494168808064835 0.119118522930316 0.104065740840421 0.0686813186813187 0.0998819576863706 0.0959729925247167 0.083554920281249 0.0841641031683577 0.0726414237719059
"казаков" 0.0135455469014561 0.134828504718998 0.0098833761612967 0.0595592614651578 0.0287077905766677 0 0.0136202669572324 0.0245960935616108 0.152921269193984 0.118671385467384 0
"ним" 0.00677277345072807 0.0526160018415601 0.098833761612967 0.119118522930316 0.0825348979079198 0.137362637362637 0.104422046672115 0.0945261634916807 0.0945904757900932 0.0887931288426173 0.118042313629347
"вас" 0.0203183203521842 0.0920780032227301 0.0197667523225934 0 0.061004054975419 0 0.0499409788431853 0.109959006510731 0.0793508991350226 0.0955262570960859 0
"даже" 0.121909922113105 0.14469400506429 0.0790670092903736 0.0595592614651578 0.17583521728209 0.137362637362637 0.145282847543812 0.112370388232457 0.0483462431816032 0.0706978466614204 0.0908017797148824
"руки" 0.0338638672536404 0.019731000690585 0.108717137774264 0.178677784395473 0.0358847382208347 0 0.0908017797148824 0.076199662406559 0.103524020725824 0.0908972314218263 0.217924271315718
"сам" 0.0745005079580088 0.0986550034529251 0.0691836331290769 0.119118522930316 0.0933003193741702 0 0.07718151275765 0.121533638775018 0.0578052907606125 0.0698562056297369 0.190683737401253
"быть" 0.17609210971893 0.0822125028774376 0.0889503854516703 0.119118522930316 0.118419636128754 0.137362637362637 0.0908017797148824 0.0969375452134073 0.0709428568425699 0.0765893338832055 0.0544810678289294
"при" 0.0474094141550965 0.121674504258608 0.098833761612967 0 0.100477267018337 0 0.104422046672115 0.095008439836026 0.065687830409787 0.0837432826525159 0.0726414237719059
"какой" 0.0474094141550965 0.0723470025321451 0.138367266258154 0.0595592614651578 0.053827107331252 0.0686813186813187 0.13166258058658 0.10176030865686 0.0698918515560133 0.073643590272313 0.172523381458277
"может" 0.155773789366746 0.0789240027623401 0.0494168808064835 0.178677784395473 0.0933003193741702 0.206043956043956 0.0454008898574412 0.101278032312515 0.0504482537547164 0.0896347698743009 0.0908017797148824
"были" 0.094818828310193 0.115097504028413 0.158134018580747 0 0.139950479061255 0.137362637362637 0.0998819576863706 0.0487099107788763 0.0667388356963435 0.100155282770346 0.136202669572324
"ли" 0.230274297324754 0.0789240027623401 0.0494168808064835 0.0595592614651578 0.0574155811533355 0.274725274725275 0.0908017797148824 0.0843983602604292 0.0730448674156831 0.0765893338832055 0.0454008898574412
"себя" 0.121909922113105 0.0822125028774376 0.0790670092903736 0.119118522930316 0.061004054975419 0 0.07718151275765 0.0969375452134073 0.0677898409829001 0.0706978466614204 0.163443203486788
"них" 0.0745005079580088 0.0690585024170476 0.0494168808064835 0 0.061004054975419 0.137362637362637 0.0817216017433942 0.0737882806848324 0.065687830409787 0.0967887186436113 0.0817216017433942
"григория" 0 0 0 0 0 0 0 0.00048227634434531 0.121391110597286 0.148128821576309 0
"есть" 0.0745005079580088 0.1315400046039 0.128483890096857 0.476474091721263 0.100477267018337 0.0686813186813187 0.104422046672115 0.102724861345551 0.051499259041273 0.0597565132495339 0.0635612458004177
"голову" 0.0270910938029123 0.02630800092078 0.0296501284838901 0 0.0322962643987512 0 0.07718151275765 0.0810224258500121 0.108779047158607 0.0631230773762683 0.0635612458004177
"зараз" 0 0.0164425005754875 0.0098833761612967 0.0595592614651578 0.00717694764416694 0 0 0.110441282855076 0.0409892061757071 0.100576103286187 0
"вам" 0.0338638672536404 0.0756355026472426 0.0197667523225934 0.0595592614651578 0.0251193167545843 0 0.0590211568146736 0.10176030865686 0.0588562960471691 0.0757476928515219 0
"была" 0.121909922113105 0.0953665033378276 0.0889503854516703 0 0.0861233717300032 0.206043956043956 0.118042313629347 0.0689655172413793 0.0557032801874993 0.0782726159465726 0.0817216017433942
"им" 0.169319336268202 0.0460390016113651 0.0296501284838901 0.119118522930316 0.0897118455520867 0.0686813186813187 0.0862616907291383 0.062213648420545 0.0572797881173342 0.0904764109059845 0.0817216017433942
"день" 0.0609549610565527 0.0361735012660725 0.0197667523225934 0.119118522930316 0.0430616858650016 0 0.0499409788431853 0.0790933204726308 0.0730448674156831 0.0740644107881547 0.163443203486788
